INDICATOR|CODE
MICS: Proportion of out-of-school. Primary. Quintile 2|HH_MICS_OOS_1_Q2
MICS: Proportion of out-of-school. Primary. Quintile 3|HH_MICS_OOS_1_Q3
MICS: Proportion of out-of-school. Primary. Quintile 4|HH_MICS_OOS_1_Q4
MICS: Proportion of out-of-school. Primary. Quintile 5|HH_MICS_OOS_1_Q5
MICS: Proportion of out-of-school. Primary. Rural|HH_MICS_OOS_1_R
MICS: Proportion of out-of-school. Primary. Urban|HH_MICS_OOS_1_U
MICS: Secondary completion rate|HH_MICS_SCR
MICS: Secondary completion rate. Female|HH_MICS_SCR_F
MICS: Secondary completion rate. Male|HH_MICS_SCR_M
MICS: Secondary completion rate. Quintile 1|HH_MICS_SCR_Q1
MICS: Secondary completion rate. Quintile 2|HH_MICS_SCR_Q2
MICS: Secondary completion rate. Quintile 3|HH_MICS_SCR_Q3
MICS: Secondary completion rate. Quintile 4|HH_MICS_SCR_Q4
MICS: Secondary completion rate. Quintile 5|HH_MICS_SCR_Q5
MICS: Secondary completion rate. Rural|HH_MICS_SCR_R
MICS: Secondary completion rate. Urban|HH_MICS_SCR_U
MICS: Transition rate. Primary to Secondary|HH_MICS_TR_12
MICS: Transition rate. Primary to Secondary. Female|HH_MICS_TR_12_F
MICS: Transition rate. Primary to Secondary. Male|HH_MICS_TR_12_M
MICS: Transition rate. Primary to Secondary. Quintile 1|HH_MICS_TR_12_Q1
MICS: Transition rate. Primary to Secondary. Quintile 2|HH_MICS_TR_12_Q2
MICS: Transition rate. Primary to Secondary. Quintile 3|HH_MICS_TR_12_Q3
MICS: Transition rate. Primary to Secondary. Quintile 4|HH_MICS_TR_12_Q4
MICS: Transition rate. Primary to Secondary. Quintile 5|HH_MICS_TR_12_Q5
MICS: Transition rate. Primary to Secondary. Rural|HH_MICS_TR_12_R
MICS: Transition rate. Primary to Secondary. Urban|HH_MICS_TR_12_U
MICS: Typology of out-of-school children. Primary. Dropped out|HH_MICS_OOST_DO
MICS: Typology of out-of-school children. Primary. Dropped out. Female|HH_MICS_OOST_DO_F
MICS: Typology of out-of-school children. Primary. Dropped out. Male|HH_MICS_OOST_DO_M
MICS: Typology of out-of-school children. Primary. Dropped out. Quintile 1|HH_MICS_OOST_DO_Q1
MICS: Typology of out-of-school children. Primary. Dropped out. Quintile 2|HH_MICS_OOST_DO_Q2
MICS: Typology of out-of-school children. Primary. Dropped out. Quintile 3|HH_MICS_OOST_DO_Q3
MICS: Typology of out-of-school children. Primary. Dropped out. Quintile 4|HH_MICS_OOST_DO_Q4
MICS: Typology of out-of-school children. Primary. Dropped out. Quintile 5|HH_MICS_OOST_DO_Q5
MICS: Typology of out-of-school children. Primary. Dropped out. Rural|HH_MICS_OOST_DO_R
MICS: Typology of out-of-school children. Primary. Dropped out. Urban|HH_MICS_OOST_DO_U
MICS: Typology of out-of-school children. Primary. Late entry|HH_MICS_OOST_L
MICS: Typology of out-of-school children. Primary. Late entry. Female|HH_MICS_OOST_L_F
MICS: Typology of out-of-school children. Primary. Late entry. Male|HH_MICS_OOST_L_M
MICS: Typology of out-of-school children. Primary. Late entry. Quintile 1|HH_MICS_OOST_L_Q1
MICS: Typology of out-of-school children. Primary. Late entry. Quintile 2|HH_MICS_OOST_L_Q2
MICS: Typology of out-of-school children. Primary. Late entry. Quintile 3|HH_MICS_OOST_L_Q3
MICS: Typology of out-of-school children. Primary. Late entry. Quintile 4|HH_MICS_OOST_L_Q4
MICS: Typology of out-of-school children. Primary. Late entry. Quintile 5|HH_MICS_OOST_L_Q5
MICS: Typology of out-of-school children. Primary. Late entry. Rural|HH_MICS_OOST_L_R
MICS: Typology of out-of-school children. Primary. Late entry. Urban|HH_MICS_OOST_L_U
MICS: Typology of out-of-school children. Primary. Never in school|HH_MICS_OOST_X
MICS: Typology of out-of-school children. Primary. Never in school. Female|HH_MICS_OOST_X_F
MICS: Typology of out-of-school children. Primary. Never in school. Male|HH_MICS_OOST_X_M
MICS: Typology of out-of-school children. Primary. Never in school. Quintile 1|HH_MICS_OOST_X_Q1
MICS: Typology of out-of-school children. Primary. Never in school. Quintile 2|HH_MICS_OOST_X_Q2
MICS: Typology of out-of-school children. Primary. Never in school. Quintile 3|HH_MICS_OOST_X_Q3
MICS: Typology of out-of-school children. Primary. Never in school. Quintile 4|HH_MICS_OOST_X_Q4
MICS: Typology of out-of-school children. Primary. Never in school. Quintile 5|HH_MICS_OOST_X_Q5
MICS: Typology of out-of-school children. Primary. Never in school. Rural|HH_MICS_OOST_X_R
MICS: Typology of out-of-school children. Primary. Never in school. Urban|HH_MICS_OOST_X_U
Net enrollment rate, primary, female|GER_PRI_NENR_FE_ZS
Net enrollment rate, primary, male|GER_PRI_NENR_MA_ZS
Net enrollment rate, primary, total|GER_PRI_NENR_ZS
Net enrollment rate, secondary, female|GER_SEC_NENR_FE_ZS
Net enrollment rate, secondary, male|GER_SEC_NENR_MA_ZS
Net enrollment rate, secondary, total|GER_SEC_NENR_ZS
Net enrolment rate.  Pre-primary.  Female|SE_PRE_NENR_FE
Net enrolment rate.  Pre-primary.  Male|SE_PRE_NENR_MA
Net enrolment rate.  Pre-primary.  Total|SE_PRE_NENR
Net intake rate. Primary. Over age (+1). Female|UIS_NIR_1_AGP1_F
Net intake rate. Primary. Over age (+1). Male|UIS_NIR_1_AGP1_M
Net intake rate. Primary. Over age (+1). Total|UIS_NIR_1_AGP1
Net intake rate. Primary. Under age (-1). Female|UIS_NIR_1_AGM1_F
Net intake rate. Primary. Under age (-1). Male|UIS_NIR_1_AGM1_M
Net intake rate. Primary. Under age (-1). Total|UIS_NIR_1_AGM1
New entrants to Grade 1 of primary education.  Female|UIS_NE_1_G1_F
New entrants to Grade 1 of primary education.  Total|UIS_NE_1_G1
New entrants who have attended some ECCE programme. Female|UIS_NE_1_ECD_F
New entrants who have attended some ECCE programme. Total|UIS_NE_1_ECD
Number of students in tertiary education per 100,000 inhabitants. Female|UIS_TE_100000_56_F
Number of students in tertiary education per 100,000 inhabitants. Male|UIS_TE_100000_56_M
Number of students in tertiary education per 100,000 inhabitants. Total|UIS_TE_100000_56
Out-of-school children of lower secondary school age. Female|UIS_OFST_2_F
Out-of-school children of lower secondary school age. Male|UIS_OFST_2_M
Out-of-school children of lower secondary school age. Total|UIS_OFST_2
Out-of-school children of primary school age enrolled in pre-primary education. Female|UIS_OFSPPT_1_F
Out-of-school children of primary school age enrolled in pre-primary education. Male|UIS_OFSPPT_1_M
Out-of-school children of primary school age enrolled in pre-primary education. Total|UIS_OFSPPT_1
Out-of-school rate for children of lower secondary school age (%). Female|UIS_ROFST_2_F
Out-of-school rate for children of lower secondary school age (%). Male|UIS_ROFST_2_M
Out-of-school rate for children of lower secondary school age (%). Total|UIS_ROFST_2
Out-of-school rate for children of primary school age (%). Female|UIS_ROFST_1_F
Out-of-school rate for children of primary school age (%). Male|UIS_ROFST_1_M
Out-of-school rate for children of primary school age (%). Total|UIS_ROFST_1
Outbound mobile students (students from a given country studying abroad). Tertiary|UIS_OE_56_40510
Outbound mobility ratio (%). Tertiary|UIS_OMR_56
Over-age enrolment ratio.  Female|UIS_OAPP_1_F
Over-age enrolment ratio.  Male|UIS_OAPP_1_M
Over-age enrolment ratio. Total|UIS_OAPP_1
PASEC: 5th grade students above the Knowledge Base Rate on the French language scale (above 40% of answers correct) (%), female|LO_PASEC_FRE5_HIG_FE
PASEC: 5th grade students above the Knowledge Base Rate on the French language scale (above 40% of answers correct) (%), male|LO_PASEC_FRE5_HIG_MA
PASEC: 5th grade students above the Knowledge Base Rate on the French language scale (above 40% of answers correct) (%), total|LO_PASEC_FRE5_HIG
PASEC: 5th grade students above the Knowledge Base Rate on the mathematics scale (above 40% of answers correct) (%), female|LO_PASEC_MAT5_HIG_FE
PASEC: 5th grade students above the Knowledge Base Rate on the mathematics scale (above 40% of answers correct) (%), male|LO_PASEC_MAT5_HIG_MA
PASEC: 5th grade students above the Knowledge Base Rate on the mathematics scale (above 40% of answers correct) (%), total|LO_PASEC_MAT5_HIG
PASEC: 5th grade students at the lowest level of proficiency on the French language scale (less than 25% of answers correct) (%), female|LO_PASEC_FRE5_LO_FE
PASEC: 5th grade students at the lowest level of proficiency on the French language scale (less than 25% of answers correct) (%), male|LO_PASEC_FRE5_LO_MA
PASEC: 5th grade students at the lowest level of proficiency on the French language scale (less than 25% of answers correct) (%), total|LO_PASEC_FRE5_LO
PASEC: 5th grade students at the lowest level of proficiency on the mathematics scale (less than 25% of answers correct) (%), female|LO_PASEC_MAT5_LO_FE
PASEC: 5th grade students at the lowest level of proficiency on the mathematics scale (less than 25% of answers correct) (%), male|LO_PASEC_MAT5_LO_MA
PASEC: 5th grade students at the lowest level of proficiency on the mathematics scale (less than 25% of answers correct) (%), total|LO_PASEC_MAT5_LO
PASEC: Mean performance on the French language scale (100 points) for 5th grade students, female|LO_PASEC_FRE5_FE
PASEC: Mean performance on the French language scale (100 points) for 5th grade students, male|LO_PASEC_FRE5_MA
PASEC: Mean performance on the French language scale (100 points) for 5th grade students, total|LO_PASEC_FRE5
PASEC: Mean performance on the mathematics scale (100 points) for 5th grade students, female|LO_PASEC_MAT5_FE
PASEC: Mean performance on the mathematics scale (100 points) for 5th grade students, male|LO_PASEC_MAT5_MA
PASEC: Mean performance on the mathematics scale (100 points) for 5th grade students, total|LO_PASEC_MAT5
Percentage distribution of public current expenditure by purpose in primary education. All personnel salaries|UIS_XNATURCP_1_FDPUB_FNS
Percentage distribution of public current expenditure by purpose in primary education. Teachers salaries|UIS_XNATURCP_1_FDPUB_FNTS
Percentage distribution of public current expenditure by purpose in secondary education. All personnel salaries|UIS_XNATURCP_23_FDPUB_FNS
Percentage distribution of public current expenditure by purpose in secondary education. Teacher salaries|UIS_XNATURCP_23_FDPUB_FNTS
Percentage distribution of public current expenditure on education by level. Lower secondary|UIS_XCURP_2
Percentage distribution of public current expenditure on education by level. Post secondary|UIS_XCURP_4
Percentage distribution of public current expenditure on education by level. Pre-primary|UIS_XCURP_0
Percentage distribution of public current expenditure on education by level. Upper secondary|UIS_XCURP_3
Percentage distribution of public current expenditure on education not allocated by level|UIS_XCURP_UK
Percentage female teachers.  Lower secondary|UIS_FTP_2
Percentage female teachers.  Pre-primary|SE_PRE_TCHR_FE_ZS
Percentage female teachers.  Upper secondary|UIS_FTP_3
Percentage female teachers. Post-secondary/non-tertiary|UIS_FTP_4
Percentage of female graduates in tertiary education ISCED 5|UIS_FGP_56
Percentage of female students.  Post-secondary non-tertiary education|UIS_FEP_4
Percentage of female students.  Pre-primary|SE_PRE_ENRL_FE_ZS
Percentage of female students.  Tertiary ISCED 5A|UIS_FEP_5_A
Percentage of female students.  Tertiary ISCED 5B|UIS_FEP_5_B
Percentage of female students.  Tertiary ISCED 6|UIS_FEP_6
Percentage of female students.  Total secondary.  General programmes|UIS_FEP_23_GPV
Percentage of female tertiary enrolments (ISCED 5 and 6) in agriculture|UIS_FOSEP_56_F600_F
Percentage of female tertiary enrolments (ISCED 5 and 6) in education|UIS_FOSEP_56_F140_F
Percentage of female tertiary enrolments (ISCED 5 and 6) in engineering, manufacturing and construction|UIS_FOSEP_56_F500_F
Percentage of female tertiary enrolments (ISCED 5 and 6) in general and unspecified programmes|UIS_FOSEP_56_FUK_F
Percentage of female tertiary enrolments (ISCED 5 and 6) in health and welfare|UIS_FOSEP_56_F700_F
Percentage of female tertiary enrolments (ISCED 5 and 6) in humanities and arts|UIS_FOSEP_56_F200_F
Percentage of female tertiary enrolments (ISCED 5 and 6) in science|UIS_FOSEP_56_F400_F
Percentage of female tertiary enrolments (ISCED 5 and 6) in services|UIS_FOSEP_56_F800_F
Percentage of female tertiary enrolments (ISCED 5 and 6) in social sciences, business and law|UIS_FOSEP_56_F300_F
Percentage of new entrants to primary education with ECCE experience.  Female|UIS_ECDP_1_F
Percentage of new entrants to primary education with ECCE experience.  Male|UIS_ECDP_1_M
Percentage of new entrants to primary education with ECCE experience.  Total|UIS_ECDP_1
percentage of population (15+), 15-19, female, completed primary|BAR_PRM_CMPT_1519_FE_ZS
percentage of population (15+), 15-19, female, completed secondary|BAR_SEC_CMPT_1519_FE_ZS
percentage of population (15+), 15-19, female, completed tertiary|BAR_TER_CMPT_1519_FE_ZS
percentage of population (15+), 15-19, female, incomplete primary|BAR_PRM_ICMP_1519_FE_ZS
percentage of population (15+), 15-19, female, incomplete secondary|BAR_SEC_ICMP_1519_FE_ZS
percentage of population (15+), 15-19, female, incomplete tertiary|BAR_TER_ICMP_1519_FE_ZS
percentage of population (15+), 15-19, female, no education|BAR_NOED_1519_FE_ZS
percentage of population (15+), 15-19, total, completed primary|BAR_PRM_CMPT_1519_ZS
percentage of population (15+), 15-19, total, completed secondary|BAR_SEC_CMPT_1519_ZS
percentage of population (15+), 15-19, total, completed tertiary|BAR_TER_CMPT_1519_ZS
percentage of population (15+), 15-19, total, incomplete primary|BAR_PRM_ICMP_1519_ZS
percentage of population (15+), 15-19, total, incomplete secondary|BAR_SEC_ICMP_1519_ZS
percentage of population (15+), 15-19, total, incomplete tertiary|BAR_TER_ICMP_1519_ZS
percentage of population (15+), 15-19, total, no education|BAR_NOED_1519_ZS
percentage of population (15+), 15+, female, completed primary|BAR_PRM_CMPT_15UP_FE_ZS
percentage of population (15+), 15+, female, completed secondary|BAR_SEC_CMPT_15UP_FE_ZS
percentage of population (15+), 15+, female, completed tertiary|BAR_TER_CMPT_15UP_FE_ZS
percentage of population (15+), 15+, female, incomplete primary|BAR_PRM_ICMP_15UP_FE_ZS
percentage of population (15+), 15+, female, incomplete secondary|BAR_SEC_ICMP_15UP_FE_ZS
percentage of population (15+), 15+, female, incomplete tertiary|BAR_TER_ICMP_15UP_FE_ZS
percentage of population (15+), 15+, female, no education|BAR_NOED_15UP_FE_ZS
percentage of population (15+), 15+, total, completed primary|BAR_PRM_CMPT_15UP_ZS
percentage of population (15+), 15+, total, completed secondary|BAR_SEC_CMPT_15UP_ZS
percentage of population (15+), 15+, total, completed tertiary|BAR_TER_CMPT_15UP_ZS
percentage of population (15+), 15+, total, incomplete primary|BAR_PRM_ICMP_15UP_ZS
percentage of population (15+), 15+, total, incomplete secondary|BAR_SEC_ICMP_15UP_ZS
percentage of population (15+), 15+, total, incomplete tertiary|BAR_TER_ICMP_15UP_ZS
percentage of population (15+), 15+, total, no education|BAR_NOED_15UP_ZS
percentage of population (15+), 20-24, female, completed primary|BAR_PRM_CMPT_2024_FE_ZS
percentage of population (15+), 20-24, female, completed secondary|BAR_SEC_CMPT_2024_FE_ZS
percentage of population (15+), 20-24, female, completed tertiary|BAR_TER_CMPT_2024_FE_ZS
percentage of population (15+), 20-24, female, incomplete primary|BAR_PRM_ICMP_2024_FE_ZS
percentage of population (15+), 20-24, female, incomplete secondary|BAR_SEC_ICMP_2024_FE_ZS
percentage of population (15+), 20-24, female, incomplete tertiary|BAR_TER_ICMP_2024_FE_ZS
percentage of population (15+), 20-24, female, no education|BAR_NOED_2024_FE_ZS
percentage of population (15+), 20-24, total, completed primary|BAR_PRM_CMPT_2024_ZS
percentage of population (15+), 20-24, total, completed secondary|BAR_SEC_CMPT_2024_ZS
percentage of population (15+), 20-24, total, completed tertiary|BAR_TER_CMPT_2024_ZS
percentage of population (15+), 20-24, total, incomplete primary|BAR_PRM_ICMP_2024_ZS
percentage of population (15+), 20-24, total, incomplete secondary|BAR_SEC_ICMP_2024_ZS
percentage of population (15+), 20-24, total, incomplete tertiary|BAR_TER_ICMP_2024_ZS
percentage of population (15+), 20-24, total, no education|BAR_NOED_2024_ZS
percentage of population (15+), 25-29, female, completed primary|BAR_PRM_CMPT_2529_FE_ZS
percentage of population (15+), 25-29, female, completed secondary|BAR_SEC_CMPT_2529_FE_ZS
percentage of population (15+), 25-29, female, completed tertiary|BAR_TER_CMPT_2529_FE_ZS
percentage of population (15+), 25-29, female, incomplete primary|BAR_PRM_ICMP_2529_FE_ZS
percentage of population (15+), 25-29, female, incomplete secondary|BAR_SEC_ICMP_2529_FE_ZS
percentage of population (15+), 25-29, female, incomplete tertiary|BAR_TER_ICMP_2529_FE_ZS
percentage of population (15+), 25-29, female, no education|BAR_NOED_2529_FE_ZS
percentage of population (15+), 25-29, total, completed primary|BAR_PRM_CMPT_2529_ZS
percentage of population (15+), 25-29, total, completed secondary|BAR_SEC_CMPT_2529_ZS
percentage of population (15+), 25-29, total, completed tertiary|BAR_TER_CMPT_2529_ZS
percentage of population (15+), 25-29, total, incomplete primary|BAR_PRM_ICMP_2529_ZS
percentage of population (15+), 25-29, total, incomplete secondary|BAR_SEC_ICMP_2529_ZS
percentage of population (15+), 25-29, total, incomplete tertiary|BAR_TER_ICMP_2529_ZS
percentage of population (15+), 25-29, total, no education|BAR_NOED_2529_ZS
percentage of population (15+), 25+, female, completed primary|BAR_PRM_CMPT_25UP_FE_ZS
percentage of population (15+), 25+, female, completed secondary|BAR_SEC_CMPT_25UP_FE_ZS
percentage of population (15+), 25+, female, completed tertiary|BAR_TER_CMPT_25UP_FE_ZS
percentage of population (15+), 25+, female, incomplete primary|BAR_PRM_ICMP_25UP_FE_ZS
percentage of population (15+), 25+, female, incomplete secondary|BAR_SEC_ICMP_25UP_FE_ZS
percentage of population (15+), 25+, female, incomplete tertiary|BAR_TER_ICMP_25UP_FE_ZS
percentage of population (15+), 25+, female, no education|BAR_NOED_25UP_FE_ZS
percentage of population (15+), 25+, total, completed primary|BAR_PRM_CMPT_25UP_ZS
percentage of population (15+), 25+, total, completed secondary|BAR_SEC_CMPT_25UP_ZS
percentage of population (15+), 25+, total, completed tertiary|BAR_TER_CMPT_25UP_ZS
percentage of population (15+), 25+, total, incomplete primary|BAR_PRM_ICMP_25UP_ZS
percentage of population (15+), 25+, total, incomplete secondary|BAR_SEC_ICMP_25UP_ZS
percentage of population (15+), 25+, total, incomplete tertiary|BAR_TER_ICMP_25UP_ZS
percentage of population (15+), 25+, total, no education|BAR_NOED_25UP_ZS
percentage of population (15+), 30-34, female, completed primary|BAR_PRM_CMPT_3034_FE_ZS
percentage of population (15+), 30-34, female, completed secondary|BAR_SEC_CMPT_3034_FE_ZS
percentage of population (15+), 30-34, female, completed tertiary|BAR_TER_CMPT_3034_FE_ZS
percentage of population (15+), 30-34, female, incomplete primary|BAR_PRM_ICMP_3034_FE_ZS
percentage of population (15+), 30-34, female, incomplete secondary|BAR_SEC_ICMP_3034_FE_ZS
percentage of population (15+), 30-34, female, incomplete tertiary|BAR_TER_ICMP_3034_FE_ZS
percentage of population (15+), 30-34, female, no education|BAR_NOED_3034_FE_ZS
percentage of population (15+), 30-34, total, completed primary|BAR_PRM_CMPT_3034_ZS
percentage of population (15+), 30-34, total, completed secondary|BAR_SEC_CMPT_3034_ZS
percentage of population (15+), 30-34, total, completed tertiary|BAR_TER_CMPT_3034_ZS
percentage of population (15+), 30-34, total, incomplete primary|BAR_PRM_ICMP_3034_ZS
percentage of population (15+), 30-34, total, incomplete secondary|BAR_SEC_ICMP_3034_ZS
percentage of population (15+), 30-34, total, incomplete tertiary|BAR_TER_ICMP_3034_ZS
percentage of population (15+), 30-34, total, no education|BAR_NOED_3034_ZS
percentage of population (15+), 35-39, female, completed primary|BAR_PRM_CMPT_3539_FE_ZS
percentage of population (15+), 35-39, female, completed secondary|BAR_SEC_CMPT_3539_FE_ZS
percentage of population (15+), 35-39, female, completed tertiary|BAR_TER_CMPT_3539_FE_ZS
percentage of population (15+), 35-39, female, incomplete primary|BAR_PRM_ICMP_3539_FE_ZS
percentage of population (15+), 35-39, female, incomplete secondary|BAR_SEC_ICMP_3539_FE_ZS
percentage of population (15+), 35-39, female, incomplete tertiary|BAR_TER_ICMP_3539_FE_ZS
percentage of population (15+), 35-39, female, no education|BAR_NOED_3539_FE_ZS
percentage of population (15+), 35-39, total, completed primary|BAR_PRM_CMPT_3539_ZS
percentage of population (15+), 35-39, total, completed secondary|BAR_SEC_CMPT_3539_ZS
percentage of population (15+), 35-39, total, completed tertiary|BAR_TER_CMPT_3539_ZS
percentage of population (15+), 35-39, total, incomplete primary|BAR_PRM_ICMP_3539_ZS
percentage of population (15+), 35-39, total, incomplete secondary|BAR_SEC_ICMP_3539_ZS
percentage of population (15+), 35-39, total, incomplete tertiary|BAR_TER_ICMP_3539_ZS
percentage of population (15+), 35-39, total, no education|BAR_NOED_3539_ZS
percentage of population (15+), 40-44, female, completed primary|BAR_PRM_CMPT_4044_FE_ZS
percentage of population (15+), 40-44, female, completed secondary|BAR_SEC_CMPT_4044_FE_ZS
percentage of population (15+), 40-44, female, completed tertiary|BAR_TER_CMPT_4044_FE_ZS
percentage of population (15+), 40-44, female, incomplete primary|BAR_PRM_ICMP_4044_FE_ZS
percentage of population (15+), 40-44, female, incomplete secondary|BAR_SEC_ICMP_4044_FE_ZS
percentage of population (15+), 40-44, female, incomplete tertiary|BAR_TER_ICMP_4044_FE_ZS
percentage of population (15+), 40-44, female, no education|BAR_NOED_4044_FE_ZS
percentage of population (15+), 40-44, total, completed primary|BAR_PRM_CMPT_4044_ZS
percentage of population (15+), 40-44, total, completed secondary|BAR_SEC_CMPT_4044_ZS
percentage of population (15+), 40-44, total, completed tertiary|BAR_TER_CMPT_4044_ZS
percentage of population (15+), 40-44, total, incomplete primary|BAR_PRM_ICMP_4044_ZS
percentage of population (15+), 40-44, total, incomplete secondary|BAR_SEC_ICMP_4044_ZS
percentage of population (15+), 40-44, total, incomplete tertiary|BAR_TER_ICMP_4044_ZS
percentage of population (15+), 40-44, total, no education|BAR_NOED_4044_ZS
percentage of population (15+), 45-49, female, completed primary|BAR_PRM_CMPT_4549_FE_ZS
percentage of population (15+), 45-49, female, completed secondary|BAR_SEC_CMPT_4549_FE_ZS
percentage of population (15+), 45-49, female, completed tertiary|BAR_TER_CMPT_4549_FE_ZS
percentage of population (15+), 45-49, female, incomplete primary|BAR_PRM_ICMP_4549_FE_ZS
percentage of population (15+), 45-49, female, incomplete secondary|BAR_SEC_ICMP_4549_FE_ZS
percentage of population (15+), 45-49, female, incomplete tertiary|BAR_TER_ICMP_4549_FE_ZS
percentage of population (15+), 45-49, female, no education|BAR_NOED_4549_FE_ZS
percentage of population (15+), 45-49, total, completed primary|BAR_PRM_CMPT_4549_ZS
percentage of population (15+), 45-49, total, completed secondary|BAR_SEC_CMPT_4549_ZS
percentage of population (15+), 45-49, total, completed tertiary|BAR_TER_CMPT_4549_ZS
percentage of population (15+), 45-49, total, incomplete primary|BAR_PRM_ICMP_4549_ZS
percentage of population (15+), 45-49, total, incomplete secondary|BAR_SEC_ICMP_4549_ZS
percentage of population (15+), 45-49, total, incomplete tertiary|BAR_TER_ICMP_4549_ZS
percentage of population (15+), 45-49, total, no education|BAR_NOED_4549_ZS
percentage of population (15+), 50-54, female, completed primary|BAR_PRM_CMPT_5054_FE_ZS
percentage of population (15+), 50-54, female, completed secondary|BAR_SEC_CMPT_5054_FE_ZS
percentage of population (15+), 50-54, female, completed tertiary|BAR_TER_CMPT_5054_FE_ZS
percentage of population (15+), 50-54, female, incomplete primary|BAR_PRM_ICMP_5054_FE_ZS
percentage of population (15+), 50-54, female, incomplete secondary|BAR_SEC_ICMP_5054_FE_ZS
percentage of population (15+), 50-54, female, incomplete tertiary|BAR_TER_ICMP_5054_FE_ZS
percentage of population (15+), 50-54, female, no education|BAR_NOED_5054_FE_ZS
percentage of population (15+), 50-54, total, completed primary|BAR_PRM_CMPT_5054_ZS
percentage of population (15+), 50-54, total, completed secondary|BAR_SEC_CMPT_5054_ZS
percentage of population (15+), 50-54, total, completed tertiary|BAR_TER_CMPT_5054_ZS
percentage of population (15+), 50-54, total, incomplete primary|BAR_PRM_ICMP_5054_ZS
percentage of population (15+), 50-54, total, incomplete secondary|BAR_SEC_ICMP_5054_ZS
percentage of population (15+), 50-54, total, incomplete tertiary|BAR_TER_ICMP_5054_ZS
percentage of population (15+), 50-54, total, no education|BAR_NOED_5054_ZS
percentage of population (15+), 55-59, female, completed primary|BAR_PRM_CMPT_5559_FE_ZS
percentage of population (15+), 55-59, female, completed secondary|BAR_SEC_CMPT_5559_FE_ZS
percentage of population (15+), 55-59, female, completed tertiary|BAR_TER_CMPT_5559_FE_ZS
percentage of population (15+), 55-59, female, incomplete primary|BAR_PRM_ICMP_5559_FE_ZS
percentage of population (15+), 55-59, female, incomplete secondary|BAR_SEC_ICMP_5559_FE_ZS
percentage of population (15+), 55-59, female, incomplete tertiary|BAR_TER_ICMP_5559_FE_ZS
percentage of population (15+), 55-59, female, no education|BAR_NOED_5559_FE_ZS
percentage of population (15+), 55-59, total, completed primary|BAR_PRM_CMPT_5559_ZS
percentage of population (15+), 55-59, total, completed secondary|BAR_SEC_CMPT_5559_ZS
percentage of population (15+), 55-59, total, completed tertiary|BAR_TER_CMPT_5559_ZS
percentage of population (15+), 55-59, total, incomplete primary|BAR_PRM_ICMP_5559_ZS
percentage of population (15+), 55-59, total, incomplete secondary|BAR_SEC_ICMP_5559_ZS
percentage of population (15+), 55-59, total, incomplete tertiary|BAR_TER_ICMP_5559_ZS
percentage of population (15+), 55-59, total, no education|BAR_NOED_5559_ZS
percentage of population (15+), 60-64, female, completed primary|BAR_PRM_CMPT_6064_FE_ZS
percentage of population (15+), 60-64, female, completed secondary|BAR_SEC_CMPT_6064_FE_ZS
percentage of population (15+), 60-64, female, completed tertiary|BAR_TER_CMPT_6064_FE_ZS
percentage of population (15+), 60-64, female, incomplete primary|BAR_PRM_ICMP_6064_FE_ZS
percentage of population (15+), 60-64, female, incomplete secondary|BAR_SEC_ICMP_6064_FE_ZS
percentage of population (15+), 60-64, female, incomplete tertiary|BAR_TER_ICMP_6064_FE_ZS
percentage of population (15+), 60-64, female, no education|BAR_NOED_6064_FE_ZS
percentage of population (15+), 60-64, total, completed primary|BAR_PRM_CMPT_6064_ZS
percentage of population (15+), 60-64, total, completed secondary|BAR_SEC_CMPT_6064_ZS
percentage of population (15+), 60-64, total, completed tertiary|BAR_TER_CMPT_6064_ZS
percentage of population (15+), 60-64, total, incomplete primary|BAR_PRM_ICMP_6064_ZS
percentage of population (15+), 60-64, total, incomplete secondary|BAR_SEC_ICMP_6064_ZS
percentage of population (15+), 60-64, total, incomplete tertiary|BAR_TER_ICMP_6064_ZS
percentage of population (15+), 60-64, total, no education|BAR_NOED_6064_ZS
percentage of population (15+), 65-69, female, completed primary|BAR_PRM_CMPT_6569_FE_ZS
percentage of population (15+), 65-69, female, completed secondary|BAR_SEC_CMPT_6569_FE_ZS
percentage of population (15+), 65-69, female, completed tertiary|BAR_TER_CMPT_6569_FE_ZS
percentage of population (15+), 65-69, female, incomplete primary|BAR_PRM_ICMP_6569_FE_ZS
percentage of population (15+), 65-69, female, incomplete secondary|BAR_SEC_ICMP_6569_FE_ZS
percentage of population (15+), 65-69, female, incomplete tertiary|BAR_TER_ICMP_6569_FE_ZS
percentage of population (15+), 65-69, female, no education|BAR_NOED_6569_FE_ZS
percentage of population (15+), 65-69, total, completed primary|BAR_PRM_CMPT_6569_ZS
percentage of population (15+), 65-69, total, completed secondary|BAR_SEC_CMPT_6569_ZS
percentage of population (15+), 65-69, total, completed tertiary|BAR_TER_CMPT_6569_ZS
percentage of population (15+), 65-69, total, incomplete primary|BAR_PRM_ICMP_6569_ZS
percentage of population (15+), 65-69, total, incomplete secondary|BAR_SEC_ICMP_6569_ZS
percentage of population (15+), 65-69, total, incomplete tertiary|BAR_TER_ICMP_6569_ZS
percentage of population (15+), 65-69, total, no education|BAR_NOED_6569_ZS
percentage of population (15+), 70-74, female, completed primary|BAR_PRM_CMPT_7074_FE_ZS
percentage of population (15+), 70-74, female, completed secondary|BAR_SEC_CMPT_7074_FE_ZS
percentage of population (15+), 70-74, female, completed tertiary|BAR_TER_CMPT_7074_FE_ZS
